time,qy,qx,yaw,qw,qz,roll,pitch
1611836674863906300,-0.0027075856924057007,0.035444386303424835,0.00011528866889420897,0.9993680119514465,-0.00015356525545939803,-0.005414494313299656,-0.0709042027592659
1611836674874055400,-0.0006641418440267444,0.02894545905292034,0.0002742620708886534,0.9995808601379395,-0.00015619061014149338,-0.0013208987656980753,-0.05789920687675476
1611836674884129300,-0.0006641418440267444,0.02894545905292034,0.0002742620708886534,0.9995808601379395,-0.00015619061014149338,-0.0013208987656980753,-0.05789920687675476
1611836674894193000,0.0011813741875812411,0.0308366809040308,0.0004730129148811102,0.9995237588882446,-0.00019972212612628937,0.002378466073423624,-0.061682626605033875
1611836674904208400,-0.02434346452355385,0.025008784607052803,1.50953209400177,0.7279737591743469,-0.6847161054611206,-0.0011978900292888284,-0.06980488449335098
1611836674914223000,-0.024986902251839638,0.026920132339000702,1.509625792503357,0.7279143929481506,-0.6846835613250732,0.000488208926981315,-0.07347343862056732
1611836674924227800,-0.023256484419107437,0.028734641149640083,1.4923832416534424,0.7338384985923767,-0.6783174276351929,0.004862663336098194,-0.07379068434238434
1611836674934241800,-0.023137584328651428,0.01799909584224224,1.4915807247161865,0.7341423630714417,-0.6783626079559326,-0.009568887762725353,-0.057851407676935196
1611836674944232400,-0.018756873905658722,0.025942780077457428,1.483005166053772,0.7371557950973511,-0.6749640107154846,0.0073824054561555386,-0.06361106783151627
1611836674954224000,-0.02409675158560276,0.03176449239253998,1.483484148979187,0.7368056774139404,-0.6749280095100403,0.007391609717160463,-0.07941912114620209
1611836674964221700,-0.025392817333340645,0.023423800244927406,1.4758179187774658,0.7393651008605957,-0.6724178791046143,-0.006062360480427742,-0.06884101033210754
1611836674974344400,-0.00933001283556223,0.02797614224255085,1.4784419536590576,0.7388894557952881,-0.6731811165809631,0.023915372788906097,-0.05393027141690254
1611836674984278300,-0.01109228003770113,0.03907706215977669,1.512092113494873,0.7274172902107239,-0.6849919557571411,0.037503745406866074,-0.07210937887430191
1611836674994392300,-0.01775779202580452,0.03923451527953148,1.5118108987808228,0.7273668646812439,-0.6848962306976318,0.028006872162222862,-0.0814904198050499
1611836675004304100,-0.016567911952733994,0.039117880165576935,1.4818192720413208,0.7375722527503967,-0.6739306449890137,0.028380252420902252,-0.0801214724779129
1611836675014269200,-0.014832431450486183,0.03910410404205322,1.4822202920913696,0.7374798655509949,-0.6740729808807373,0.030939193442463875,-0.07775156944990158
1611836675024242000,-0.014661022461950779,0.037492331117391586,1.4851187467575073,0.7365126609802246,-0.675224781036377,0.029121624305844307,-0.07509668916463852
1611836675034225400,-0.013541320338845253,0.038022417575120926,1.485293984413147,0.7364766597747803,-0.6752578616142273,0.03149637579917908,-0.07436153292655945
1611836675044258000,-0.014472049660980701,0.036592867225408554,1.4855668544769287,0.7363687753677368,-0.6754351854324341,0.028198568150401115,-0.07350773364305496
1611836675054247000,-0.013791559264063835,0.03403902426362038,1.4852628707885742,0.7364940643310547,-0.6754463911056519,0.025732021778821945,-0.06882431358098984
1611836675064223500,-0.013309178873896599,0.02829652652144432,1.492553472518921,0.7340538501739502,-0.678371012210846,0.018886473029851913,-0.05963481217622757
1611836675074212400,-0.016473351046442986,0.02627868391573429,1.4919975996017456,0.7341758012771606,-0.6782506704330444,0.011479980312287807,-0.060970239341259
1611836675084218600,-0.01591121219098568,0.029688995331525803,1.4938421249389648,0.7335560321807861,-0.6787938475608826,0.01699882186949253,-0.06520414352416992
1611836675094217500,-0.012156561017036438,0.030740603804588318,1.4943705797195435,0.7334544658660889,-0.6789343357086182,0.023956919088959694,-0.061639703810214996
1611836675104211500,-0.010281938128173351,0.032053377479314804,1.4972035884857178,0.7325224280357361,-0.6799101233482361,0.028580332174897194,-0.06097900867462158
1611836675114211800,-0.010487516410648823,0.031387824565172195,1.4973455667495728,0.7324723601341248,-0.6799919605255127,0.027376443147659302,-0.06028078496456146
1611836675124215800,-0.010138086043298244,0.031241383403539658,1.4988666772842407,0.7319613099098206,-0.6805540919303894,0.027734272181987762,-0.05956922098994255
1611836675134230800,-0.012057189829647541,0.03408217057585716,1.499074101448059,0.7318512797355652,-0.6805048584938049,0.02880537137389183,-0.06634477525949478
1611836675144218400,-0.013295326381921768,0.03438790142536163,1.492631435394287,0.7340123653411865,-0.6781346201896667,0.027188614010810852,-0.06856805086135864
1611836675154226400,-0.02047152817249298,0.0306989923119545,1.4915415048599243,0.7342082858085632,-0.677920937538147,0.011593298055231571,-0.07289961725473404
1611836675164220000,-0.02261255867779255,0.025937311351299286,1.4829689264297485,0.7370495796203613,-0.674962043762207,0.0016842344775795937,-0.06881371140480042
1611836675174250000,-0.019825942814350128,0.023542558774352074,1.482975721359253,0.7371416687965393,-0.6750369071960449,0.0025599785149097443,-0.06151367723941803
1611836675184250400,-0.016049006953835487,0.02407475933432579,1.496799111366272,0.7325620055198669,-0.6800851821899414,0.009247209876775742,-0.057132966816425323
1611836675194227700,-0.01374642550945282,0.024700110778212547,1.4970402717590332,0.7325299978256226,-0.680147647857666,0.013480833731591702,-0.05491393432021141
1611836675204230400,-0.010835038498044014,0.027242623269557953,1.5054066181182861,0.7297298312187195,-0.6831068396568298,0.02143952064216137,-0.05458959564566612
1611836675214239200,-0.008201236836612225,0.032456960529088974,1.5061743259429932,0.7294970154762268,-0.6831642985343933,0.03244267404079437,-0.058593615889549255
1611836675224238600,-0.011662761680781841,0.035177502781152725,1.5035773515701294,0.730323314666748,-0.6820956468582153,0.03102896921336651,-0.06734302639961243
