time,y,z,x
1611836674819256000,-0.26042497158050537,-0.09871959686279297,0.21321964263916016
1611836674831757600,-0.18859893083572388,-0.31539440155029297,0.024077709764242172
1611836674842992600,-0.05931204557418823,-0.37524986267089844,-0.05493094399571419
1611836674853602000,-0.031778693199157715,-0.3872203826904297,0.0013327933847904205
1611836674863906300,-0.019585371017456055,-0.27568817138671875,-0.0014890395104885101
1611836674874055400,0.0023398995399475098,0.0679168701171875,0.1582535356283188
1611836674884129300,0.011916697025299072,0.2055835723876953,0.00023622717708349228
1611836674894193000,0.016778886318206787,0.27126598358154297,-0.0006616115570068359
1611836674904208400,0.013913512229919434,0.19866657257080078,0.0002523306757211685
1611836674914223000,0.001971602439880371,0.026459693908691406,-0.000013626646250486374
1611836674924227800,-0.01190495491027832,-0.16114234924316406,0.0008695498108863831
1611836674934241800,-0.03789353370666504,-0.654719352722168,-0.006291963160037994
1611836674944232400,-0.03441721200942993,-0.5401430130004883,0.004014842212200165
1611836674954224000,-0.0046898722648620605,-0.058605194091796875,0.000431746244430542
1611836674964221700,0.006583750247955322,0.09523391723632812,0.0005447752773761749
1611836674974344400,0.006485164165496826,0.1200094223022461,-0.002859562635421753
1611836674984278300,0.015313029289245605,0.2119283676147461,-0.007948219776153564
1611836674994392300,0.03611546754837036,0.44219398498535156,-0.012400716543197632
1611836675004304100,0.051890671253204346,0.6459178924560547,-0.018298804759979248
1611836675014269200,0.05231410264968872,0.6711645126342773,-0.020772308111190796
1611836675024242000,0.043557703495025635,0.5776643753051758,-0.01692897081375122
1611836675034225400,0.03039628267288208,0.40784168243408203,-0.01285359263420105
1611836675044258000,0.014804303646087646,0.20155620574951172,-0.0055685341358184814
1611836675054247000,0.005550026893615723,0.08152294158935547,-0.00206562876701355
1611836675064223500,0.002108275890350342,0.034740447998046875,-0.0006778240203857422
1611836675074212400,0.0010070204734802246,0.016472816467285156,-0.0001589953899383545
1611836675084218600,0.00027060508728027344,0.004296302795410156,-0.00005777180194854736
