time,y,z,x
1.61213E+18,-0.047972977,0.081871986,0.044133186
1.61213E+18,0.022655964,0.010046005,0.009417236
1.61213E+18,0.071737096,-0.066568375,-0.012130558
1.61213E+18,0.052583486,-0.059386253,0.020191133
1.61213E+18,-8.8945E-05,0.001666069,-0.000159562
1.61213E+18,0.001269847,0.074273109,-0.005766094
1.61213E+18,0.002451658,0.173528671,-0.013427377
1.61213E+18,0.001694076,0.138604164,-0.010007083
1.61213E+18,-0.002085626,-0.088209152,0.005699933
1.61213E+18,-0.001529217,-0.054085732,0.003848374
1.61213E+18,0.001470506,0.067834854,-0.004915774
1.61213E+18,0.003090024,0.150413513,-0.010486662
1.61213E+18,0.004289731,0.250030518,-0.016397834
1.61213E+18,0.004897684,0.251214027,-0.015733838
1.61213E+18,0.002208397,0.093133926,-0.006777704
1.61213E+18,-0.000955597,-0.038246155,0.002526939
1.61213E+18,-0.002984643,-0.103640556,0.007615685
1.61213E+18,-0.003269613,-0.128572464,0.010999441
1.61213E+18,0.000634924,0.038598061,-0.003369927
1.61213E+18,0.003900856,0.209151268,-0.016561806
1.61213E+18,0.002307281,0.140280724,-0.011586964
1.61213E+18,0.002080619,0.11986351,-0.009109318
1.61213E+18,0.003513798,0.162250519,-0.010038197
1.61213E+18,0.005783737,0.235424042,-0.01541549
1.61213E+18,0.004621655,0.237405777,-0.018518209
1.61213E+18,0.003634438,0.233046532,-0.019201219
1.61213E+18,0.002742201,0.211688995,-0.017955422
1.61213E+18,0.002179027,0.191720009,-0.015517175
1.61213E+18,0.000194907,0.008495331,-0.00057894
1.61213E+18,0.004848987,0.15813446,-0.009984553
1.61213E+18,0.007095844,0.16941452,-0.010059357
1.61213E+18,0.00950259,0.132178307,-0.008414388
1.61213E+18,0.005127192,0.089255333,-0.004476696
1.61213E+18,-0.003406316,-0.071300507,0.004197598
1.61213E+18,-0.005710989,-0.130965233,0.010230243
1.61213E+18,-0.004069865,-0.107188225,0.008827209
1.61213E+18,-0.001653969,-0.052616119,0.004291236
1.61213E+18,0.000728756,0.02734375,-0.002147794
1.61213E+18,0.003354192,0.158428192,-0.011267364
1.61213E+18,0.005076498,0.221815109,-0.015255988
1.61213E+18,0.004754126,0.175182343,-0.011739194
1.61213E+18,0.005639762,0.177567482,-0.011532068
1.61213E+18,0.008650124,0.241241455,-0.015743852
1.61213E+18,0.023794979,0.609248161,-0.04442656
1.61213E+18,0.035108984,0.832208633,-0.053637445
1.61213E+18,0.035911798,0.812447548,-0.04703486
1.61213E+18,0.023216993,0.578077316,-0.034250617
1.61213E+18,0.008773655,0.25675869,-0.016445577
1.61213E+18,-0.000773698,-0.026158333,0.001760185
1.61213E+18,-0.006387442,-0.227474213,0.018104196
1.61213E+18,-0.007452786,-0.238193512,0.021441519
1.61213E+18,-0.009587795,-0.271475792,0.023319066
1.61213E+18,-0.012478143,-0.329076767,0.024270058
1.61213E+18,-0.015145838,-0.35585022,0.021092892
1.61213E+18,-0.016080886,-0.335079193,0.015466809
1.61213E+18,-0.012590945,-0.246196747,0.009954423
1.61213E+18,0.000273794,0.005396843,-0.000291646
1.61213E+18,0.018654823,0.404999733,-0.024306297
1.61213E+18,0.026613712,0.699338913,-0.051736951
1.61213E+18,0.02143237,0.729380608,-0.059144855
1.61213E+18,0.014683545,0.589520454,-0.046960294
1.61213E+18,0.010573447,0.366262436,-0.02666229
1.61213E+18,0.007101119,0.197609901,-0.013771892
1.61213E+18,0.001986921,0.059891701,-0.004351258
1.61213E+18,-0.000556707,-0.007727623,0.000397384
1.61213E+18,-0.00838533,-0.229172707,0.017631054
1.61213E+18,-0.012395799,-0.227231026,0.015553355
1.61213E+18,-0.013449073,-0.255874634,0.015648723
1.61213E+18,-0.007746875,-0.229036331,0.015633404
1.61213E+18,0.010198593,0.159872055,-0.007055938
1.61213E+18,0.033706784,0.443146706,-0.02047506
1.61213E+18,0.001055501,0.534925461,-0.049489379
1.61213E+18,0.04472965,0.540941238,-0.019032866
1.61213E+18,-0.002574179,0.447588921,-0.04536885
1.61213E+18,0.036488712,0.402881622,-0.014380634
1.61213E+18,0.001659006,0.203286171,-0.018454671
1.61213E+18,0.001087487,0.022713661,-0.001728415
1.61213E+18,-0.008814096,-0.090018272,0.002781838
1.61213E+18,-0.007569045,-0.203892708,0.012384713
1.61213E+18,-0.003177121,-0.161265373,0.012564898
1.61213E+18,0.002119184,0.033733368,-0.0019117
1.61213E+18,0.021223247,0.23968792,-0.009444892
1.61213E+18,0.021689296,0.296941757,-0.011579245
1.61213E+18,0.009934843,0.221972466,-0.010566115
1.61213E+18,0.004097134,0.136694908,-0.007257283
1.61213E+18,0.002320349,0.064210892,-0.003640592
1.61213E+18,0.005365729,0.093482018,-0.00581044
1.61213E+18,0.021807194,0.204093933,-0.007958323
1.61213E+18,0.00626561,0.164051056,-0.011517882
1.61213E+18,0.016034782,0.224852562,-0.015015781
1.61213E+18,0.013733327,0.198231697,-0.008823574
1.61213E+18,0.008261442,0.125642776,-0.006620228
1.61213E+18,0.001390755,0.025350571,-0.001584172
1.61213E+18,-0.003475606,-0.072101593,0.005096018
1.61213E+18,-0.004406333,-0.104115486,0.008117139
1.61213E+18,-0.002308786,-0.053463936,0.004438698
1.61213E+18,0.002556443,0.038959503,-0.002517641
1.61213E+18,0.005060911,0.090482712,-0.005287111
1.61213E+18,0.002620876,0.093532562,-0.007606149
1.61213E+18,0.007280529,0.111014366,-0.006562471
1.61213E+18,-0.371400028,0.006603241,-0.209795356
1.61213E+18,-0.076017797,-0.059236526,-0.100839913
1.61213E+18,-0.322699606,-0.127305984,-0.254573822
1.61213E+18,-0.217672735,-0.121506691,-0.194195092
