time,y,z,x
1.61187E+18,-0.009399429,-0.023873329,0.004846312
1.61187E+18,-0.012990732,-0.016691208,-0.014307303
1.61187E+18,-0.015384935,-0.00711441,0.001255009
1.61187E+18,0.000177378,-0.028661728,5.79078E-05
1.61187E+18,3.81209E-05,-0.015529633,-1.23428E-05
1.61187E+18,0.009605311,-0.008199692,-0.031187188
1.61187E+18,2.85041E-05,-0.010593414,-6.25663E-05
1.61187E+18,0.000169314,-0.021282196,6.41495E-06
1.61187E+18,-4.39994E-05,-0.007937431,2.47359E-05
1.61187E+18,0.003547303,-0.013922691,0.007207341
1.61187E+18,-0.004832398,-0.019906998,0.002418913
1.61187E+18,-0.000193769,-0.010268211,-2.16216E-05
1.61187E+18,-5.7593E-06,-0.015142441,-0.000215299
1.61187E+18,7.47107E-05,-0.014081001,-7.1995E-05
1.61187E+18,6.89328E-05,-0.014163971,-9.95435E-05
1.61187E+18,9.96701E-05,-0.017782211,-0.000166338
1.61187E+18,0.000156976,-0.002313614,-0.000193243
1.61187E+18,-3.97786E-05,0.009665489,4.22439E-05
1.61187E+18,0.009537019,-0.002305984,-0.001154857
1.61187E+18,0.000222836,-0.007134438,-2.53804E-05
1.61187E+18,-0.000233035,0.011995316,-1.88909E-05
1.61187E+18,-1.33272E-05,0.00599575,-3.1271E-05
1.61187E+18,-1.33272E-05,-0.00597477,0.005954234
1.61187E+18,3.91E-08,5.53131E-05,-0.000163823
1.61187E+18,2.6633E-05,-0.023808479,-7.83131E-05
1.61187E+18,2.66004E-05,-0.015397072,-7.71843E-05
1.61187E+18,-0.000391278,0.015798569,0.000536256
1.61187E+18,-3.33637E-05,0.007367134,2.92622E-05
1.61187E+18,-0.003624666,-0.001012802,0.001226366
1.61187E+18,-2.86922E-05,-0.011763573,-9.93498E-05
1.61187E+18,-0.001225792,-0.018946648,-0.008479051
1.61187E+18,-0.000116836,0.007369995,-0.000246061
1.61187E+18,-9.26107E-05,0.014461517,2.72915E-05
1.61187E+18,-0.003683913,0.003687859,-0.004761113
1.61187E+18,0.001104485,9.63211E-05,-0.001169804
1.61187E+18,0.000217808,-0.019098282,-6.9458E-06
1.61187E+18,-6.50259E-05,-0.003490448,-0.000279941
1.61187E+18,-7.88504E-05,-0.004621506,-0.000224043
1.61187E+18,0.000272349,0.004936218,-4.85964E-05
1.61187E+18,-0.005713155,0.014513016,-0.006034102
1.61187E+18,0.000117483,0.014500618,0.000113215
1.61187E+18,0.00020121,-0.009473801,0.000129983
1.61187E+18,-3.91304E-05,0.014436722,-3.3699E-05
1.61187E+18,0.000110012,-0.001104355,8.89488E-05
1.61187E+18,-0.000321917,0.008528709,-9.32529E-05
1.61187E+18,-0.006307423,-0.003442764,-0.001290354
1.61187E+18,0.003269386,-0.005836487,0.008286453
1.61187E+18,-0.00271612,0.001345634,0.003498049
1.61187E+18,-5.7146E-06,0.007347107,8.02204E-05
1.61187E+18,-0.000131479,-0.007005692,-0.000161644
1.61187E+18,-3.04747E-05,0.014601707,9.03457E-05
1.61187E+18,0.004757928,0.00502491,-0.00589516
1.61187E+18,0.005955027,0.015798569,-0.003500961
1.61187E+18,-9.45106E-06,0.013288498,6.12549E-05
1.61187E+18,-2.04314E-05,0.009654999,3.40715E-05
1.61187E+18,-3.29558E-05,0.01081562,-3.57609E-05
1.61187E+18,-0.000489466,0.015645027,-0.000150409
1.61187E+18,0.00429894,0.003674507,0.002243793
1.61187E+18,0.004298937,0.007266045,-0.008530115
1.61187E+18,-0.004080784,0.012054443,0.003440895
1.61187E+18,-1.24536E-05,0.006112099,-9.20147E-05
1.61187E+18,0.005973049,0.014492035,0.007090589
1.61187E+18,-0.000103988,0.002547264,-0.000118867
1.61187E+18,-0.000100635,0.007393837,-7.13132E-05
1.61187E+18,-9.27225E-06,0.014593124,9.57996E-05
1.61187E+18,-0.000147872,0.016951561,-6.39185E-05
1.61187E+18,-0.001438618,0.092623711,0.000969283
1.61187E+18,-0.000949055,0.063116074,0.00079827
1.61187E+18,-0.00060755,0.033230782,0.000299893
1.61187E+18,-0.000214659,0.033273697,-0.00041493
1.61187E+18,0.000169635,0.003429413,-0.000114143
1.61187E+18,-0.003363609,-0.183577538,-0.003234118
1.61187E+18,-0.005909622,0.089914322,0.004990399
1.61187E+18,0.008479059,0.13076973,-0.011823356
1.61187E+18,-7.51615E-05,0.001177788,0.000127435
1.61187E+18,0.006922722,0.152236938,-0.015447021
1.61187E+18,-0.000110701,0.008093834,0.000749588
1.61187E+18,-0.000131935,0.003087044,-5.77867E-05
1.61187E+18,0.005586833,0.120613098,-0.006810784
1.61187E+18,-4.03598E-05,-0.00760746,-0.000576854
1.61187E+18,6.12438E-05,-0.001327515,-4.36902E-05
1.61187E+18,-0.001142412,0.064833641,-0.003780007
1.61187E+18,0.00132215,0.042160988,-0.001354516
1.61187E+18,0.000119776,0.004635811,0.000167519
1.61187E+18,-0.000123814,0.009699821,0.000506222
1.61187E+18,-0.000828683,0.023084641,0.000362262
1.61187E+18,0.000137025,0.04562664,-0.00189507
1.61187E+18,0.002721131,0.051989555,-0.000369124
1.61187E+18,-0.000441611,0.008031845,0.000724554
1.61187E+18,0.004189909,0.088423729,-0.007165849
1.61187E+18,0.00037545,-0.00642395,-0.000530601
1.61187E+18,-0.001103181,0.200584412,-0.006604493
1.61187E+18,0.000639945,0.024580002,-0.000511229
1.61187E+18,-0.000800975,-0.081739426,-0.000723638
1.61187E+18,5.83418E-05,-0.009147644,-6.85528E-05
